Date,Day,Time,Hour,Route,Bus No,Student_ID,Attendance
03-09-2025,Wednesday,16:48,16,City Center,B-101,S2002,Present
03-09-2025,Wednesday,16:56,16,South Suburb,B-303,S2038,Present
03-09-2025,Wednesday,16:48,16,City Center,B-101,S2241,Present
03-09-2025,Wednesday,16:50,16,City Center,B-101,S2186,Present
03-09-2025,Wednesday,16:36,16,City Center,B-102,S2480,Present
03-09-2025,Wednesday,16:43,16,South Suburb,B-303,S2134,Present
03-09-2025,Wednesday,16:32,16,City Center,B-102,S2235,Present
03-09-2025,Wednesday,17:14,17,City Center,B-102,S2058,Present
03-09-2025,Wednesday,17:00,17,University,B-202,S2062,Present
03-09-2025,Wednesday,16:33,16,South Suburb,B-303,S2029,Present
03-09-2025,Wednesday,16:31,16,Express Dc,B-401,S2347,Present
03-09-2025,Wednesday,17:03,17,South Suburb,B-303,S2188,Present
04-09-2025,Thursday,08:43,8,City Center,B-102,S2466,Present
04-09-2025,Thursday,08:30,8,Express Dc,B-401,S2140,Present
04-09-2025,Thursday,08:55,8,City Center,B-101,S2530,Present
04-09-2025,Thursday,08:59,8,University,B-202,S2576,Present
04-09-2025,Thursday,09:03,9,University,B-202,S2002,Present
04-09-2025,Thursday,08:31,8,University,B-202,S2166,Present
04-09-2025,Thursday,09:02,9,University,B-202,S2226,Present
04-09-2025,Thursday,08:52,8,South Suburb,B-303,S2414,Present
04-09-2025,Thursday,08:31,8,Express Dc,B-401,S2338,Present
04-09-2025,Thursday,08:33,8,City Center,B-102,S2537,Present
04-09-2025,Thursday,09:00,9,City Center,B-102,S2592,Present
04-09-2025,Thursday,08:48,8,University,B-202,S2216,Present
04-09-2025,Thursday,09:05,9,City Center,B-102,S2452,Present
04-09-2025,Thursday,09:07,9,City Center,B-102,S2557,Present
04-09-2025,Thursday,09:00,9,University,B-202,S2452,Present
04-09-2025,Thursday,16:35,16,University,B-202,S2405,Present
04-09-2025,Thursday,16:58,16,University,B-202,S2305,Present
04-09-2025,Thursday,17:06,17,South Suburb,B-303,S2011,Present
04-09-2025,Thursday,17:10,17,University,B-202,S2526,Present
04-09-2025,Thursday,16:56,16,University,B-202,S2222,Present
04-09-2025,Thursday,16:47,16,City Center,B-101,S2538,Absent
04-09-2025,Thursday,17:00,17,Express Dc,B-401,S2415,Present
04-09-2025,Thursday,16:54,16,University,B-202,S2013,Present
04-09-2025,Thursday,16:45,16,City Center,B-102,S2137,Present
04-09-2025,Thursday,17:03,17,City Center,B-102,S2163,Present
04-09-2025,Thursday,17:11,17,City Center,B-102,S2505,Present
04-09-2025,Thursday,16:34,16,University,B-202,S2143,Present
04-09-2025,Thursday,16:41,16,City Center,B-102,S2529,Present
05-09-2025,Friday,09:05,9,City Center,B-101,S2411,Present
05-09-2025,Friday,09:03,9,University,B-202,S2363,Present
05-09-2025,Friday,08:46,8,City Center,B-102,S2006,Present
05-09-2025,Friday,08:59,8,University,B-202,S2348,Present
05-09-2025,Friday,08:51,8,City Center,B-102,S2041,Present
05-09-2025,Friday,08:32,8,University,B-202,S2148,Present
05-09-2025,Friday,08:34,8,University,B-202,S2113,Present
05-09-2025,Friday,08:44,8,South Suburb,B-303,S2112,Present
05-09-2025,Friday,08:35,8,South Suburb,B-303,S2056,Present
05-09-2025,Friday,08:50,8,City Center,B-102,S2340,Present
05-09-2025,Friday,16:55,16,City Center,B-101,S2304,Present
05-09-2025,Friday,16:57,16,City Center,B-102,S2509,Present
05-09-2025,Friday,16:37,16,City Center,B-102,S2551,Present
05-09-2025,Friday,17:05,17,City Center,B-102,S2233,Present
05-09-2025,Friday,16:30,16,Express Dc,B-401,S2211,Present
05-09-2025,Friday,16:43,16,City Center,B-102,S2275,Present
05-09-2025,Friday,17:02,17,South Suburb,B-303,S2366,Present
05-09-2025,Friday,17:11,17,University,B-202,S2427,Present
05-09-2025,Friday,17:08,17,Express Dc,B-401,S2262,Present
05-09-2025,Friday,16:48,16,City Center,B-102,S2243,Present
05-09-2025,Friday,16:34,16,City Center,B-102,S2245,Present
05-09-2025,Friday,17:04,17,South Suburb,B-303,S2298,Present
05-09-2025,Friday,17:11,17,University,B-202,S2294,Present
05-09-2025,Friday,16:39,16,South Suburb,B-303,S2032,Present
05-09-2025,Friday,17:05,17,Express Dc,B-401,S2040,Present
08-09-2025,Monday,08:47,8,City Center,B-101,S2405,Present
08-09-2025,Monday,08:33,8,Express Dc,B-401,S2590,Present
08-09-2025,Monday,08:42,8,South Suburb,B-303,S2178,Present
08-09-2025,Monday,08:56,8,University,B-202,S2411,Present
08-09-2025,Monday,09:12,9,South Suburb,B-303,S2328,Present
08-09-2025,Monday,09:15,9,City Center,B-101,S2360,Present
08-09-2025,Monday,08:38,8,University,B-202,S2035,Present
08-09-2025,Monday,08:53,8,City Center,B-101,S2042,Present
08-09-2025,Monday,08:38,8,City Center,B-102,S2386,Present
08-09-2025,Monday,08:46,8,South Suburb,B-303,S2083,Present
08-09-2025,Monday,08:57,8,City Center,B-102,S2049,Present
08-09-2025,Monday,08:32,8,University,B-202,S2097,Present
08-09-2025,Monday,12:55,12,South Suburb,B-303,S2452,Present
08-09-2025,Monday,17:03,17,Express Dc,B-401,S2386,Present
08-09-2025,Monday,16:47,16,City Center,B-102,S2090,Present
08-09-2025,Monday,16:59,16,University,B-202,S2087,Present
08-09-2025,Monday,17:05,17,City Center,B-101,S2447,Present
08-09-2025,Monday,17:11,17,City Center,B-102,S2177,Present
08-09-2025,Monday,17:00,17,City Center,B-102,S2004,Present
08-09-2025,Monday,16:30,16,City Center,B-102,S2342,Present
08-09-2025,Monday,16:57,16,City Center,B-101,S2085,Present
08-09-2025,Monday,16:51,16,City Center,B-101,S2047,Present
08-09-2025,Monday,16:35,16,University,B-202,S2156,Present
08-09-2025,Monday,16:33,16,City Center,B-102,S2447,Present
08-09-2025,Monday,17:10,17,University,B-202,S2452,Present
08-09-2025,Monday,16:57,16,University,B-202,S2257,Present
09-09-2025,Tuesday,08:34,8,University,B-202,S2056,Present
09-09-2025,Tuesday,08:57,8,City Center,B-102,S2322,Present
09-09-2025,Tuesday,09:06,9,City Center,B-102,S2328,Present
09-09-2025,Tuesday,09:05,9,City Center,B-101,S2287,Present
09-09-2025,Tuesday,09:07,9,South Suburb,B-303,S2135,Present
09-09-2025,Tuesday,08:35,8,City Center,B-102,S2099,Present
09-09-2025,Tuesday,08:35,8,University,B-202,S2216,Present
09-09-2025,Tuesday,09:08,9,South Suburb,B-303,S2346,Present
09-09-2025,Tuesday,09:06,9,University,B-202,S2599,Present
09-09-2025,Tuesday,09:13,9,University,B-202,S2457,Present
09-09-2025,Tuesday,08:30,8,South Suburb,B-303,S2537,Present
09-09-2025,Tuesday,09:04,9,City Center,B-101,S2154,Present
09-09-2025,Tuesday,08:43,8,University,B-202,S2247,Present
09-09-2025,Tuesday,08:50,8,City Center,B-102,S2201,Present
09-09-2025,Tuesday,16:54,16,Express Dc,B-401,S2084,Present
09-09-2025,Tuesday,16:37,16,South Suburb,B-303,S2529,Present
09-09-2025,Tuesday,16:51,16,South Suburb,B-303,S2456,Present
09-09-2025,Tuesday,17:06,17,South Suburb,B-303,S2426,Present
09-09-2025,Tuesday,16:41,16,City Center,B-102,S2270,Present
09-09-2025,Tuesday,17:12,17,City Center,B-101,S2180,Present
09-09-2025,Tuesday,16:49,16,City Center,B-102,S2445,Present
09-09-2025,Tuesday,16:45,16,University,B-202,S2293,Present
09-09-2025,Tuesday,16:42,16,University,B-202,S2138,Present
09-09-2025,Tuesday,17:06,17,South Suburb,B-303,S2421,Present
09-09-2025,Tuesday,17:10,17,University,B-202,S2110,Present
09-09-2025,Tuesday,16:50,16,South Suburb,B-303,S2502,Present
09-09-2025,Tuesday,16:52,16,University,B-202,S2261,Present
09-09-2025,Tuesday,17:02,17,South Suburb,B-303,S2429,Present
10-09-2025,Wednesday,09:13,9,South Suburb,B-303,S2577,Present
10-09-2025,Wednesday,08:40,8,City Center,B-101,S2466,Present
10-09-2025,Wednesday,08:34,8,City Center,B-102,S2000,Present
10-09-2025,Wednesday,09:13,9,South Suburb,B-303,S2593,Present
10-09-2025,Wednesday,09:02,9,Express Dc,B-401,S2326,Present
10-09-2025,Wednesday,08:42,8,South Suburb,B-303,S2485,Present
10-09-2025,Wednesday,08:33,8,City Center,B-101,S2410,Present
10-09-2025,Wednesday,09:00,9,University,B-202,S2420,Present
10-09-2025,Wednesday,09:10,9,South Suburb,B-303,S2060,Present
10-09-2025,Wednesday,08:47,8,City Center,B-102,S2230,Absent
10-09-2025,Wednesday,09:14,9,South Suburb,B-303,S2169,Present
10-09-2025,Wednesday,08:37,8,City Center,B-101,S2358,Present
10-09-2025,Wednesday,09:05,9,City Center,B-102,S2559,Present
10-09-2025,Wednesday,08:46,8,South Suburb,B-303,S2134,Absent
10-09-2025,Wednesday,17:15,17,City Center,B-102,S2436,Present
10-09-2025,Wednesday,16:54,16,South Suburb,B-303,S2424,Present
10-09-2025,Wednesday,16:56,16,Express Dc,B-401,S2537,Present
10-09-2025,Wednesday,16:58,16,City Center,B-102,S2110,Present
10-09-2025,Wednesday,17:06,17,City Center,B-101,S2346,Present
10-09-2025,Wednesday,17:03,17,City Center,B-101,S2434,Present
10-09-2025,Wednesday,16:40,16,City Center,B-102,S2186,Present
10-09-2025,Wednesday,16:32,16,University,B-202,S2075,Present
10-09-2025,Wednesday,16:47,16,South Suburb,B-303,S2541,Present
10-09-2025,Wednesday,16:49,16,City Center,B-102,S2555,Present
10-09-2025,Wednesday,16:49,16,Express Dc,B-401,S2440,Present
10-09-2025,Wednesday,16:59,16,South Suburb,B-303,S2374,Present
10-09-2025,Wednesday,16:42,16,City Center,B-102,S2491,Present
11-09-2025,Thursday,08:45,8,City Center,B-101,S2597,Present
11-09-2025,Thursday,09:11,9,University,B-202,S2361,Present
11-09-2025,Thursday,09:03,9,City Center,B-101,S2349,Present
11-09-2025,Thursday,09:14,9,South Suburb,B-303,S2008,Present
11-09-2025,Thursday,08:35,8,City Center,B-102,S2499,Present
11-09-2025,Thursday,08:39,8,City Center,B-101,S2053,Present
11-09-2025,Thursday,08:49,8,South Suburb,B-303,S2285,Present
11-09-2025,Thursday,09:15,9,City Center,B-101,S2196,Present
11-09-2025,Thursday,09:02,9,University,B-202,S2373,Absent
11-09-2025,Thursday,08:52,8,South Suburb,B-303,S2441,Present
11-09-2025,Thursday,08:37,8,South Suburb,B-303,S2076,Present
11-09-2025,Thursday,09:08,9,City Center,B-101,S2224,Present
11-09-2025,Thursday,16:40,16,University,B-202,S2322,Present
11-09-2025,Thursday,16:41,16,South Suburb,B-303,S2537,Present
11-09-2025,Thursday,16:44,16,University,B-202,S2427,Present
11-09-2025,Thursday,16:39,16,City Center,B-102,S2475,Present
11-09-2025,Thursday,16:36,16,Express Dc,B-401,S2082,Present
11-09-2025,Thursday,16:57,16,South Suburb,B-303,S2426,Present
11-09-2025,Thursday,16:38,16,City Center,B-102,S2008,Present
11-09-2025,Thursday,16:49,16,University,B-202,S2026,Present
11-09-2025,Thursday,16:39,16,Express Dc,B-401,S2144,Present
11-09-2025,Thursday,16:57,16,City Center,B-101,S2325,Present
11-09-2025,Thursday,17:12,17,University,B-202,S2421,Present
11-09-2025,Thursday,17:00,17,City Center,B-102,S2155,Present
11-09-2025,Thursday,16:40,16,Express Dc,B-401,S2467,Present
11-09-2025,Thursday,17:13,17,University,B-202,S2364,Present
12-09-2025,Friday,08:37,8,South Suburb,B-303,S2352,Present
12-09-2025,Friday,09:00,9,University,B-202,S2226,Present
12-09-2025,Friday,08:37,8,South Suburb,B-303,S2242,Present
12-09-2025,Friday,08:42,8,City Center,B-101,S2343,Present
12-09-2025,Friday,08:51,8,South Suburb,B-303,S2397,Present
12-09-2025,Friday,08:59,8,City Center,B-102,S2399,Present
12-09-2025,Friday,08:57,8,Express Dc,B-401,S2565,Present
12-09-2025,Friday,08:59,8,City Center,B-101,S2106,Present
12-09-2025,Friday,08:42,8,City Center,B-101,S2392,Present
12-09-2025,Friday,08:43,8,City Center,B-101,S2276,Present
12-09-2025,Friday,09:13,9,City Center,B-101,S2066,Present
12-09-2025,Friday,08:49,8,City Center,B-102,S2192,Present
12-09-2025,Friday,09:00,9,University,B-202,S2488,Present
12-09-2025,Friday,09:02,9,University,B-202,S2430,Present
12-09-2025,Friday,13:32,13,Express Dc,B-401,S2466,Present
12-09-2025,Friday,16:59,16,City Center,B-101,S2598,Present
12-09-2025,Friday,17:09,17,City Center,B-102,S2577,Present
12-09-2025,Friday,16:49,16,University,B-202,S2525,Present
12-09-2025,Friday,17:13,17,City Center,B-101,S2185,Present
12-09-2025,Friday,16:53,16,City Center,B-101,S2173,Present
12-09-2025,Friday,16:33,16,South Suburb,B-303,S2283,Present
12-09-2025,Friday,16:56,16,City Center,B-102,S2098,Present
12-09-2025,Friday,17:12,17,Express Dc,B-401,S2521,Present
12-09-2025,Friday,17:14,17,South Suburb,B-303,S2326,Present
12-09-2025,Friday,16:35,16,City Center,B-101,S2120,Present
12-09-2025,Friday,17:04,17,University,B-202,S2388,Present
12-09-2025,Friday,16:53,16,University,B-202,S2336,Present
12-09-2025,Friday,16:30,16,University,B-202,S2282,Present
15-09-2025,Monday,08:40,8,University,B-202,S2155,Present
15-09-2025,Monday,08:57,8,South Suburb,B-303,S2343,Present
15-09-2025,Monday,09:09,9,City Center,B-101,S2129,Present
15-09-2025,Monday,09:14,9,Express Dc,B-401,S2114,Present
15-09-2025,Monday,08:35,8,South Suburb,B-303,S2193,Present
15-09-2025,Monday,08:54,8,City Center,B-101,S2262,Present
15-09-2025,Monday,08:38,8,South Suburb,B-303,S2230,Present
15-09-2025,Monday,09:07,9,City Center,B-102,S2123,Present
15-09-2025,Monday,08:58,8,Express Dc,B-401,S2291,Present
15-09-2025,Monday,08:46,8,City Center,B-101,S2115,Present
15-09-2025,Monday,16:30,16,Express Dc,B-401,S2572,Present
15-09-2025,Monday,16:42,16,Express Dc,B-401,S2231,Present
15-09-2025,Monday,17:08,17,Express Dc,B-401,S2185,Present
15-09-2025,Monday,16:36,16,City Center,B-101,S2512,Present
15-09-2025,Monday,17:04,17,Express Dc,B-401,S2544,Present
15-09-2025,Monday,17:04,17,City Center,B-101,S2595,Present
15-09-2025,Monday,17:15,17,University,B-202,S2471,Absent
15-09-2025,Monday,16:51,16,University,B-202,S2100,Present
15-09-2025,Monday,17:06,17,South Suburb,B-303,S2464,Present
15-09-2025,Monday,17:14,17,City Center,B-101,S2433,Present
15-09-2025,Monday,16:44,16,City Center,B-102,S2366,Present
15-09-2025,Monday,16:45,16,Express Dc,B-401,S2309,Present
16-09-2025,Tuesday,08:45,8,City Center,B-102,S2244,Present
16-09-2025,Tuesday,08:34,8,University,B-202,S2567,Present
16-09-2025,Tuesday,08:35,8,Express Dc,B-401,S2029,Present
16-09-2025,Tuesday,08:41,8,City Center,B-102,S2491,Present
16-09-2025,Tuesday,08:36,8,City Center,B-102,S2532,Present
16-09-2025,Tuesday,08:33,8,University,B-202,S2075,Present
16-09-2025,Tuesday,09:13,9,University,B-202,S2511,Present
16-09-2025,Tuesday,08:58,8,City Center,B-102,S2431,Present
16-09-2025,Tuesday,09:10,9,South Suburb,B-303,S2234,Present
16-09-2025,Tuesday,09:01,9,University,B-202,S2388,Present
16-09-2025,Tuesday,13:04,13,University,B-202,S2030,Present
16-09-2025,Tuesday,17:15,17,Express Dc,B-401,S2092,Present
16-09-2025,Tuesday,16:46,16,University,B-202,S2431,Present
16-09-2025,Tuesday,16:53,16,City Center,B-101,S2342,Present
16-09-2025,Tuesday,16:48,16,City Center,B-101,S2154,Present
16-09-2025,Tuesday,16:32,16,University,B-202,S2371,Present
16-09-2025,Tuesday,16:37,16,South Suburb,B-303,S2295,Absent
16-09-2025,Tuesday,17:04,17,South Suburb,B-303,S2257,Present
16-09-2025,Tuesday,17:01,17,City Center,B-101,S2492,Present
16-09-2025,Tuesday,16:59,16,University,B-202,S2010,Present
16-09-2025,Tuesday,17:06,17,City Center,B-102,S2089,Present
16-09-2025,Tuesday,16:34,16,University,B-202,S2176,Present
16-09-2025,Tuesday,16:57,16,City Center,B-102,S2497,Present
16-09-2025,Tuesday,16:53,16,University,B-202,S2060,Present
16-09-2025,Tuesday,16:50,16,Express Dc,B-401,S2077,Present
17-09-2025,Wednesday,08:33,8,South Suburb,B-303,S2227,Present
17-09-2025,Wednesday,08:47,8,University,B-202,S2577,Present
17-09-2025,Wednesday,09:12,9,South Suburb,B-303,S2014,Present
17-09-2025,Wednesday,08:52,8,University,B-202,S2393,Present
17-09-2025,Wednesday,09:13,9,University,B-202,S2462,Present
17-09-2025,Wednesday,08:38,8,City Center,B-102,S2102,Present
17-09-2025,Wednesday,08:46,8,City Center,B-101,S2521,Present
17-09-2025,Wednesday,08:41,8,City Center,B-102,S2232,Present
17-09-2025,Wednesday,08:55,8,Express Dc,B-401,S2196,Present
17-09-2025,Wednesday,08:53,8,City Center,B-101,S2210,Present
17-09-2025,Wednesday,09:15,9,South Suburb,B-303,S2279,Present
17-09-2025,Wednesday,08:43,8,University,B-202,S2508,Present
17-09-2025,Wednesday,08:43,8,City Center,B-101,S2326,Present
17-09-2025,Wednesday,08:57,8,University,B-202,S2131,Present
17-09-2025,Wednesday,16:42,16,City Center,B-101,S2508,Present
17-09-2025,Wednesday,16:48,16,South Suburb,B-303,S2498,Present
17-09-2025,Wednesday,17:01,17,City Center,B-101,S2082,Present
17-09-2025,Wednesday,16:54,16,City Center,B-101,S2229,Present
17-09-2025,Wednesday,16:56,16,City Center,B-102,S2167,Present
17-09-2025,Wednesday,17:01,17,University,B-202,S2233,Present
17-09-2025,Wednesday,17:15,17,University,B-202,S2339,Present
17-09-2025,Wednesday,16:54,16,City Center,B-101,S2232,Present
17-09-2025,Wednesday,16:49,16,City Center,B-101,S2053,Present
17-09-2025,Wednesday,17:00,17,City Center,B-102,S2028,Present
17-09-2025,Wednesday,16:42,16,University,B-202,S2087,Present
17-09-2025,Wednesday,16:58,16,City Center,B-102,S2449,Present
18-09-2025,Thursday,08:38,8,South Suburb,B-303,S2520,Present
18-09-2025,Thursday,09:15,9,South Suburb,B-303,S2202,Present
18-09-2025,Thursday,09:11,9,City Center,B-101,S2288,Present
18-09-2025,Thursday,09:02,9,South Suburb,B-303,S2545,Present
18-09-2025,Thursday,08:52,8,South Suburb,B-303,S2279,Present
18-09-2025,Thursday,08:49,8,South Suburb,B-303,S2071,Present
18-09-2025,Thursday,08:40,8,Express Dc,B-401,S2120,Absent
18-09-2025,Thursday,09:11,9,City Center,B-101,S2031,Present
18-09-2025,Thursday,08:30,8,University,B-202,S2504,Present
18-09-2025,Thursday,09:13,9,University,B-202,S2383,Present
18-09-2025,Thursday,16:33,16,City Center,B-102,S2373,Present
18-09-2025,Thursday,16:57,16,South Suburb,B-303,S2582,Present
18-09-2025,Thursday,16:52,16,University,B-202,S2152,Absent
18-09-2025,Thursday,16:58,16,City Center,B-102,S2555,Present
18-09-2025,Thursday,17:02,17,South Suburb,B-303,S2475,Present
18-09-2025,Thursday,16:47,16,City Center,B-102,S2381,Present
18-09-2025,Thursday,16:42,16,City Center,B-101,S2284,Present
18-09-2025,Thursday,16:49,16,City Center,B-102,S2067,Present
18-09-2025,Thursday,16:54,16,University,B-202,S2579,Present
18-09-2025,Thursday,16:31,16,South Suburb,B-303,S2084,Present
18-09-2025,Thursday,16:56,16,University,B-202,S2572,Present
18-09-2025,Thursday,16:48,16,Express Dc,B-401,S2525,Present
18-09-2025,Thursday,16:56,16,City Center,B-102,S2076,Present
18-09-2025,Thursday,16:52,16,University,B-202,S2172,Present
18-09-2025,Thursday,17:03,17,University,B-202,S2025,Present
19-09-2025,Friday,09:07,9,University,B-202,S2297,Present
19-09-2025,Friday,09:05,9,City Center,B-102,S2294,Present
19-09-2025,Friday,09:01,9,University,B-202,S2339,Present
19-09-2025,Friday,08:33,8,University,B-202,S2095,Absent
19-09-2025,Friday,08:47,8,City Center,B-101,S2578,Absent
19-09-2025,Friday,09:02,9,University,B-202,S2447,Present
19-09-2025,Friday,09:14,9,South Suburb,B-303,S2580,Present
19-09-2025,Friday,09:13,9,City Center,B-101,S2577,Present
19-09-2025,Friday,08:34,8,City Center,B-102,S2063,Present
19-09-2025,Friday,08:56,8,City Center,B-102,S2193,Present
19-09-2025,Friday,08:36,8,University,B-202,S2190,Present
19-09-2025,Friday,08:34,8,Express Dc,B-401,S2258,Present
19-09-2025,Friday,09:00,9,South Suburb,B-303,S2459,Present
19-09-2025,Friday,08:49,8,South Suburb,B-303,S2098,Present
19-09-2025,Friday,08:49,8,City Center,B-101,S2109,Present
19-09-2025,Friday,16:59,16,Express Dc,B-401,S2503,Present
19-09-2025,Friday,17:09,17,University,B-202,S2368,Present
19-09-2025,Friday,16:31,16,South Suburb,B-303,S2091,Present
19-09-2025,Friday,16:31,16,City Center,B-101,S2554,Present
19-09-2025,Friday,16:56,16,University,B-202,S2451,Present
19-09-2025,Friday,16:46,16,University,B-202,S2374,Present
19-09-2025,Friday,17:01,17,City Center,B-101,S2330,Present
19-09-2025,Friday,16:35,16,University,B-202,S2217,Present
19-09-2025,Friday,16:46,16,Express Dc,B-401,S2442,Present
19-09-2025,Friday,16:50,16,Express Dc,B-401,S2108,Present
19-09-2025,Friday,16:49,16,City Center,B-102,S2109,Present
19-09-2025,Friday,16:52,16,University,B-202,S2484,Present
22-09-2025,Monday,08:45,8,City Center,B-102,S2005,Present
22-09-2025,Monday,08:55,8,University,B-202,S2337,Present
22-09-2025,Monday,09:09,9,South Suburb,B-303,S2471,Present
22-09-2025,Monday,09:08,9,University,B-202,S2151,Present
22-09-2025,Monday,08:34,8,City Center,B-102,S2014,Present
22-09-2025,Monday,09:10,9,University,B-202,S2352,Present
22-09-2025,Monday,09:05,9,Express Dc,B-401,S2459,Present
22-09-2025,Monday,08:51,8,University,B-202,S2512,Present
22-09-2025,Monday,09:13,9,University,B-202,S2205,Present
22-09-2025,Monday,09:05,9,South Suburb,B-303,S2079,Present
22-09-2025,Monday,08:40,8,University,B-202,S2392,Present
22-09-2025,Monday,12:05,12,University,B-202,S2482,Present
22-09-2025,Monday,16:52,16,City Center,B-102,S2414,Present
22-09-2025,Monday,17:07,17,City Center,B-101,S2221,Present
22-09-2025,Monday,16:37,16,City Center,B-102,S2109,Present
22-09-2025,Monday,16:43,16,Express Dc,B-401,S2398,Present
22-09-2025,Monday,17:09,17,City Center,B-101,S2551,Present
22-09-2025,Monday,16:49,16,South Suburb,B-303,S2238,Present
22-09-2025,Monday,17:12,17,City Center,B-101,S2031,Present
22-09-2025,Monday,17:02,17,University,B-202,S2460,Present
22-09-2025,Monday,16:59,16,South Suburb,B-303,S2323,Present
22-09-2025,Monday,17:11,17,City Center,B-101,S2440,Present
22-09-2025,Monday,17:09,17,City Center,B-102,S2328,Present
22-09-2025,Monday,16:59,16,University,B-202,S2540,Present
22-09-2025,Monday,16:41,16,City Center,B-102,S2189,Present
22-09-2025,Monday,17:15,17,City Center,B-101,S2185,Present
23-09-2025,Tuesday,08:42,8,City Center,B-102,S2033,Present
23-09-2025,Tuesday,08:46,8,City Center,B-102,S2198,Present
